subject,Test Flow-Sets,,,,,,Individual Tests,,,,,,,,,,,,,,,
,FR Test Flow-Sets,PAF,,,,,FR Test,PAF,,,,,Jcrasher,,,,,Daikon,,,,
,,Actual,Selected,A / S,Precison,Recall,,Actual,Selected,A / S,Precison,Recall,Actual,Selected,A / S,Precison,Recall,Actual,Selected,A / S,Precison,Recall
Ant1,6,2,2,2 / 2,1,0.333,548,20,20,20 / 20,1,0.036,334,392,334 / 392,0.852,0.609,21,174,21 / 174,0.121,0.038
Ant2,7,1,1,1 / 1,1,0.143,77,10,10,10 / 10,1,0.130,13,50,13 / 50,0.26,0.169,75,330,75 / 330,0.227,0.974
Coll1,1,1,1,1 / 1,1,1.000,38,38,38,38 / 38,1,1.000,16,87,16 / 87,0.184,0.421,38,90,38 / 90,0.422,1.000
Coll2,1,1,1,1 / 1,1,1.000,17,17,17,17 / 17,1,1.000,8,77,8 / 77,0.104,0.471,17,34,17 / 34,0.500,1.000
Ivy1,1,1,8,1 / 8,0.125,1.000,1,1,36,1 / 36,0.028,1.000,0,169,0 / 169,0,0,1,238,1 / 238,0.004,1
Ivy2,0,0,2,0 / 2,0,-,0,0,15,0 / 15,0,-,0,265,0 / 265,0,-,0,147,0 / 147,0.000,-
Math1,3,3,3,3 / 3,1,1.000,8,8,8,8 / 8,1,1.000,5,25,5 / 25,0.2,0.625,8,45,8 / 45,0.178,1
Rhino1,1,1,2,1 / 2,0.5,1.000,41,41,44,41 / 44,0.932,1.000,0,48,0 / 48,0,0,41,166,41 / 166,0.247,1.000
Rhino2,1,1,2,1 / 2,0.5,1.000,37,37,40,37 / 40,0.925,1.000,0,138, 0 / 138,0,0,37,424,37 / 424,0.087,1
Rhino3,1,1,2,1 / 2,0.5,1.000,44,44,46,44 / 46,0.957,1.000,0,259,0 / 259,0,0,44,495,44 / 495,0.089,1.000
Total,22,12,24,12 / 24,0.5,0.545,811,216,274,216 / 274,0.788,0.266,376,1510,376 / 1510,0.249,0.464,282,2143,282 / 2143,0.132,0.348
