,Unordered,,,,Random,,,,Jcrasher,,,,Daikon,,,,PAT (individua test),,,,PAT (test flow-sets),,,
Subject,n,m,TF,APFD,n,m,TF,APFD,n,m,TF,APFD,n,m,TF,APFD,n,m,TF,APFD,n,m,TF,APFD
Ant1,1086,6,2438,0.626304481,1086,6,2042,0.686157152,1086,6,2961,0.545119705,1086,6,1540,0.763198281,1086,6,1322,0.796654389,74,6,134,0.691441441
Ant2,1462,6,1288,0.853511172,1462,6,3267,0.627222982,1462,6,891,0.898084815,1462,6,1510,0.82751938,1462,6,1804,0.794003648,124,6,168,0.77016129
Coll1,402,1,4,0.991293532,402,1,120,0.700248756,402,1,10,0.973880597,402,1,2,0.993781095,402,1,1,0.996268657,34,1,1,0.955882353
Coll2,256,1,27,0.896484375,256,1,219,0.142578125,256,1,6,0.974609375,256,1,1,0.994140625,256,1,1,0.994140625,33,1,1,0.954545455
Ivy1,360,1,330,0.084722222,360,1,166,0.5375,360,1,355,0.0125,360,1,147,0.590277778,360,1,15,0.956944444,65,1,4,0.930769231
Ivy2,-,0,,-,-,0,-,-,-,0,-,-,-,0,-,-,-,0,-,-,-,0,-,-
Math1,45,2,16,0.833333333,45,2,26,0.7,45,2,37,0.577777778,45,2,39,0.555555556,45,2,5,0.933333333,22,2,4,0.886363636
Rhino1,258,1,1,0.998062016,258,1,43,0.831395349,258,1,51,0.800387597,258,1,15,0.939922481,258,1,2,0.990310078,46,1,2,0.945652174
Rhino2,676,1,154,0.772928994,676,1,32,0.951923077,676,1,148,0.780325444,676,1,9,0.985946746,676,1,2,0.996301775,152,1,2,0.983552632
Rhino3,660,1,194,0.706818182,660,1,22,0.965909091,660,1,305,0.537121212,660,1,75,0.885606061,660,1,2,0.996212121,121,1,2,0.979338843
Summary,,,,0.751495367,,,,0.682548281,,,,0.67775628,,,,0.837327556,,,,0.939352119,,,,0.899745228
