,Unordered,Random,Jcrasher,Daikon
ErrorTest0.test184,85,1,644,391
ErrorTest0.test613,541,2,566,341
ErrorTest0.test275,180,3,112,545
ErrorTest0.test326,237,4,479,260
ErrorTest0.test415,336,5,355,156
ErrorTest0.test588,512,6,234,80
ErrorTest0.test533,452,7,347,148
ErrorTest0.test195,97,8,627,380
ErrorTest0.test246,148,9,174,34
ErrorTest0.test341,254,10,264,105
ErrorTest0.test212,117,11,432,651
ErrorTest0.test425,347,12,540,318
ErrorTest0.test421,343,13,530,306
ErrorTest0.test586,510,14,243,87
ErrorTest0.test342,255,15,53,479
ErrorTest0.test5,414,16,660,403
ErrorTest0.test417,338,17,367,169
ErrorTest0.test263,167,18,135,568
ErrorTest0.test63,559,19,617,604
ErrorTest0.test494,408,20,13,24
ErrorTest0.test665,598,21,525,301
ErrorTest0.test519,436,22,43,187
ErrorTest0.test255,158,101,148,9
ErrorTest0.test291,198,24,275,497
ErrorTest0.test25,152,25,672,419
ErrorTest0.test520,438,26,21,173
ErrorTest0.test616,544,27,577,352
ErrorTest0.test383,300,28,343,146
ErrorTest0.test628,557,29,420,644
ErrorTest0.test518,435,30,403,625
RandoopTest0.test25,660,31,268,486
ErrorTest0.test62,548,32,618,375
ErrorTest0.test32,230,33,619,376
ErrorTest0.test643,574,34,368,171
ErrorTest0.test655,587,35,360,162
ErrorTest0.test420,342,36,534,311
ErrorTest0.test99,637,37,564,339
ErrorTest0.test312,222,38,498,277
ErrorTest0.test208,112,39,492,271
ErrorTest0.test282,188,40,288,511
ErrorTest0.test4,318,41,659,643
ErrorTest0.test108,11,42,248,91
ErrorTest0.test200,104,43,473,250
ErrorTest0.test305,214,44,539,317
ErrorTest0.test605,532,45,104,358
ErrorTest0.test351,265,46,227,459
ErrorTest0.test374,290,47,162,23
RandoopTest0.test183,653,48,597,562
ErrorTest0.test210,115,49,449,227
ErrorTest0.test177,77,50,276,498
ErrorTest0.test644,575,51,382,602
ErrorTest0.test432,355,52,501,280
ErrorTest0.test347,260,53,256,98
ErrorTest0.test437,360,54,510,288
ErrorTest0.test377,293,55,147,8
ErrorTest0.test460,386,56,57,483
ErrorTest0.test389,306,57,325,134
ErrorTest0.test35,263,58,624,378
ErrorTest0.test591,516,59,216,66
RandoopTest0.test55,672,60,308,535
ErrorTest0.test163,62,61,297,518
ErrorTest0.test339,251,62,438,217
