Bug id,subject,stack trace,buggy code,fixed code,fixed (confirmed),detected as bug?,Remarks
1,ant1,org.apache.tools.ant.taskdefs.Manifest$Attribute.equals(Manifest.java:156),"String lhsKey = getKey();
if ((lhsKey == null && rhsKey != null)
     || (lhsKey != null && rhsKey == null)
     || !lhsKey.equals(rhsKey)) { //lhsKey is null
    return false;
}","String lhsKey = getKey();
if ((lhsKey == null && rhsKey != null)
     || (lhsKey != null && !lhsKey.equals(rhsKey))) { //condition changed
    return false;
}",yes,yes,
2,"ant1, ant2",org.apache.tools.ant.taskdefs.GenerateKey$DistinguishedName.encode(GenerateKey.java:92)        org.apache.tools.ant.taskdefs.GenerateKey$DistinguishedName.toString(GenerateKey.java:83),"final DnameParam param = (DnameParam) params.elementAt(i);
sb.append(encode(param.getName())); //bold font is null","final DnameParam param = (DnameParam) params.elementAt(i);
if (param.isComplete()) { //isComplete checks getName null
  sb.append(encode(param.getName())); 
} ",yes,yes,
3,"ant1, ant2",org.apache.tools.ant.taskdefs.PumpStreamHandler.stop(PumpStreamHandler.java:132),outputThread.join(); //outputThread is field type Thread,"finish(outputThread)
protected final void finish(Thread t) {
    if (t == null) {
        // nothing to terminate
        return;
 ",yes,no,
4,ant1,org.apache.tools.ant.Task.log(Task.java:346),"getProject().log(this, msg, msgLevel);","        if (getProject() != null) {
            getProject().log(this, msg, msgLevel);
        } else {
            super.log(msg, msgLevel);
        }",yes,no,
5,ant1,org.apache.tools.ant.util.ReaderInputStream.close(ReaderInputStream.java:199),in.close();  //in is field ,"if (in != null) {
    in.close();",yes,no,Fix made to avoid getting NPE on calling close() twice.
6,ant2,org.apache.tools.ant.types.resources.FileResource.equals(FileResource.java:292),"public boolean equals(Object another) {
    if (!(another.getClass().equals(getClass()))) { //another is null
        return false;
    }","if (another == null || !(another.getClass().equals(getClass()))) {
    return false;
}",yes,no,
7,ant2,"        at org.apache.tools.ant.types.Resource.compareTo(Resource.java:281)
        at org.apache.tools.ant.types.Resource.equals(Resource.java:294)
        at org.apache.tools.ant.types.resources.PropertyResource.equals(PropertyResource.java:119)",other.getClass().equals(getClass()) && compareTo(other) == 0;,other != null && other.getClass().equals(getClass()),yes,no,
8,ant2,org.apache.tools.ant.types.resources.URLResource.equals(URLResource.java:301), if (!(another.getClass().equals(getClass()))), if (another == null || !(another.getClass().equals(getClass()))) ,yes,no,
9,ant2,org.apache.tools.ant.types.resources.ArchiveResource.equals(ArchiveResource.java:219),if (!(another.getClass().equals(getClass()))),if (another == null || !(another.getClass().equals(getClass()))),yes,no,
10,ant2,org.apache.tools.ant.types.Resource.equals(Resource.java:294),other.getClass().equals(getClass()) && compareTo(other) == 0;,other != null && other.getClass().equals(getClass()),yes,no,same fault with bug 7
11,"coll1,coll2",org.apache.commons.collections.SequencedHashMap.indexOf(SequencedHashMap.java:823),"Entry e = (Entry)entries.get(key); //e returns null
while(e.prev != sentinel) {","Entry e = (Entry) entries.get(key);
if (e == null) {
    return -1;
}",yes,yes,
12,math1,"        at org.apache.commons.math.linear.ArrayFieldVector.buildArray(ArrayFieldVector.java:296)
        at org.apache.commons.math.linear.ArrayFieldVector.<init>(ArrayFieldVector.java:262)"," 
 public ArrayFieldVector(T[] v1, T[] v2) {
  data = buildArray(v1.length + v2.length);
} private T[] buildArray(final int length) {
    return (T[]) Array.newInstance(field.getZero().getClass(), length);
}","data = MathArrays.buildArray(v1[0].getField(), v1.length + v2.length);",yes,yes,
13,math1,"        at org.apache.commons.math.distribution.PoissonDistributionImpl.setNormalAndMeanInternal(PoissonDistributionImpl.java:177)
        at org.apache.commons.math.distribution.PoissonDistributionImpl.setMean(PoissonDistributionImpl.java:159)
        at org.apache.commons.math.distribution.PoissonDistributionImpl.<init>(PoissonDistributionImpl.java:106)","public PoissonDistributionImpl(double p, double epsilon) {
    setMean(p); 
} public void setMean(double p) {
    setNormalAndMeanInternal(normal, p);
} private void setNormalAndMeanInternal(NormalDistribution z,.. {
  normal.setmean(..)",whole class removed,yes,yes,
14,math1,"        at org.apache.commons.math.linear.ArrayFieldVector.buildArray(ArrayFieldVector.java:296)
        at org.apache.commons.math.linear.ArrayFieldVector.<init>(ArrayFieldVector.java:284)"," public ArrayFieldVector(Field<T> field, T[] v1, T[] v2) {
  data = buildArray(v1.length + v2.length);
} private T[] buildArray(final int length) {
    return (T[]) Array.newInstance(field.getZero().getClass(), length);
}","data = MathArrays.buildArray(field, v1.length + v2.length);",yes,yes,
15,ant1,org.apache.tools.ant.taskdefs.Ant.addConfiguredTarget(Ant.java:649),"String name = t.getName();
if (name.equals("""")) {
    throw new BuildException(""target name must not be empty"");
}","        String name = t.getName();
        if ("""".equals(name)) {
            throw new BuildException(""target name must not be empty"");
        }",yes,no,
16,ivy1,org.apache.ivy.plugins.lock.FileBasedLockStrategy$CreateFileLocker.tryLock(FileBasedLockStrategy.java:151),if (file.getParentFile().exists() || file.getParentFile().mkdirs()) {," final File reportParentDir = reportFile.getParentFile();
if (reportParentDir != null) {",yes,yes,
17,"rhino1, rhino2, rhino3",org.mozilla.javascript.IdScriptableObject.initPrototypeMethod(IdScriptableObject.java:641),"Scriptable scope = ScriptableObject.getTopLevelScope(this);
IdFunctionObject f = newIdFunction(tag, id, name, arity, scope);
prototypeValues.initValue(id, name, f, DONTENUM);","        Scriptable scope = ScriptableObject.getTopLevelScope(this);
        IdFunctionObject function = newIdFunction(tag, id,
            functionName != null ? functionName : propertyName,
            arity, scope);
        prototypeValues.initValue(id, propertyName, function, DONTENUM);
        return function;",,yes,
,,,,,,,
,,,,,,,
,,,,,,,
Unconfirmed 1,"ant1, ant2",org.apache.tools.ant.taskdefs.PumpStreamHandler.start(PumpStreamHandler.java:118),outputThread.start();  //outputThread is field type Thread,no fix made,no,no,reported and confirmed as non-fault-revealing
Unconfirmed 2,ivy1,org.apache.ivy.plugins.version.Match.getPatternMatcher(Match.java:95),"PatternMatcher pMatcher = IvyContext.getContext().getSettings().getMatcher(matcher);
return pMatcher.getMatcher(pattern);",no fix made,,,
Unconfirmed 3,ivy1,"        at org.apache.ivy.plugins.resolver.AbstractPatternsBasedResolver.findArtifactRef(AbstractPatternsBasedResolver.java:82)
        at org.apache.ivy.plugins.resolver.IvyRepResolver.findArtifactRef(IvyRepResolver.java:282)
        at org.apache.ivy.plugins.resolver.BasicResolver.getArtifactRef(BasicResolver.java:928)
        at org.apache.ivy.plugins.resolver.BasicResolver.exists(BasicResolver.java:775)
        at org.apache.ivy.plugins.resolver.IvyRepResolver.exists(IvyRepResolver.java:292)","getDefaultRMDParser(artifact.getModuleRevisionId().getModuleId()), date);
        public ModuleRevisionId getModuleRevisionId() {
            return null;
        }",no fix made,no,yes,reported and pending
Unconfirmed 4,ivy1,org.apache.ivy.util.Configurator.addMacroAttribute(Configurator.java:737),"((MacroDef) getCurrent()).addAttribute(attName, attDefaultValue);
public Object getCurrent() {
    return objectStack.isEmpty() ? null : ((ObjectDescriptor) objectStack.peek()).getObject();
}",no fix made,no,yes,reported and pending
Unconfirmed 5,"rhino1, rhino2, rhino3",org.mozilla.javascript.NativeJavaPackage.<init>(NativeJavaPackage.java:83),"    public NativeJavaPackage(String packageName) {
        this(false, packageName,
             Context.getCurrentContext().getApplicationClassLoader());
    }","     * @deprecated NativeJavaPackage is an internal class, do not use
     * it directly.",no,yes,reported and pending
